review_id,customer_id,booking_id,service_type,rating,review_text,sentiment,review_date
REV0001,CUST0355,BK01227,Pedicure,5,The staff is very skilled and the ambience is lovely.,Positive,2026-03-22
REV0002,CUST0408,BK00033,Pedicure,4,Best salon in Nellore! Will definitely come back.,Positive,2024-10-03
REV0003,CUST0306,BK01939,Hair Colour,5,Outstanding service. The hair spa was so relaxing.,Positive,2026-03-14
REV0004,CUST0029,BK00274,Haircut,4,Excellent bridal package. Made my wedding day perfect!,Positive,2025-10-23
REV0005,CUST0476,BK04904,Haircut,5,Outstanding service. The hair spa was so relaxing.,Positive,2025-02-10
REV0006,CUST0211,BK03334,Hair Colour,4,Best salon in Nellore! Will definitely come back.,Positive,2024-07-01
REV0007,CUST0027,BK04497,Waxing,5,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2024-08-10
REV0008,CUST0355,BK03571,Bridal Package,2,The hair colour applied was completely wrong. Very disappointed.,Negative,2025-01-04
REV0009,CUST0077,BK01180,Facial,5,The staff is very skilled and the ambience is lovely.,Positive,2024-07-07
REV0010,CUST0376,BK04433,Facial,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2024-06-08
REV0011,CUST0318,BK04923,Haircut,5,Loved my haircut. The colouring came out exactly as I imagined.,Positive,2025-04-19
REV0012,CUST0162,BK04068,Manicure,5,Punctual and professional. My go-to salon from now on.,Positive,2024-05-10
REV0013,CUST0127,BK02752,Waxing,4,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2024-07-22
REV0014,CUST0416,BK01287,Haircut,4,The staff is very skilled and the ambience is lovely.,Positive,2024-08-31
REV0015,CUST0328,BK03191,Haircut,2,The place needs better maintenance and cleanliness.,Negative,2025-12-24
REV0016,CUST0400,BK02711,Haircut,5,The stylist was so professional and understood exactly what I wanted.,Positive,2026-02-14
REV0017,CUST0415,BK02729,Haircut,5,The stylist was so professional and understood exactly what I wanted.,Positive,2024-11-04
REV0018,CUST0063,BK00516,Hair Spa,4,Best salon in Nellore! Will definitely come back.,Positive,2025-11-15
REV0019,CUST0439,BK00656,Facial,4,Outstanding service. The hair spa was so relaxing.,Positive,2026-01-28
REV0020,CUST0297,BK03501,Waxing,4,Quick service and great results. Highly recommend.,Positive,2026-05-04
REV0021,CUST0446,BK04847,Haircut,4,Great value for money. Very satisfied with the facial treatment.,Positive,2024-08-20
REV0022,CUST0121,BK01627,Hair Colour,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-02-17
REV0023,CUST0204,BK04989,Facial,4,Outstanding service. The hair spa was so relaxing.,Positive,2025-12-20
REV0024,CUST0078,BK00098,Hair Spa,3,"Decent salon. Service was okay, nothing extraordinary.",Neutral,2025-08-05
REV0025,CUST0358,BK00319,Facial,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2026-01-11
REV0026,CUST0478,BK03642,Hair Spa,5,Very friendly staff. They made me feel comfortable throughout.,Positive,2026-04-07
REV0027,CUST0138,BK04537,Hair Spa,5,Excellent bridal package. Made my wedding day perfect!,Positive,2026-01-22
REV0028,CUST0005,BK01084,Manicure,5,Excellent bridal package. Made my wedding day perfect!,Positive,2024-06-10
REV0029,CUST0251,BK01239,Hair Colour,2,The hair colour applied was completely wrong. Very disappointed.,Negative,2024-12-28
REV0030,CUST0315,BK01192,Haircut,3,Okay salon. Stylist was good but the ambience needs improvement.,Neutral,2025-10-17
REV0031,CUST0407,BK02647,Facial,4,Very friendly staff. They made me feel comfortable throughout.,Positive,2025-07-02
REV0032,CUST0123,BK02783,Facial,4,Very clean and hygienic salon. Staff was warm and welcoming.,Positive,2024-12-21
REV0033,CUST0483,BK00466,Hair Colour,2,The hair colour applied was completely wrong. Very disappointed.,Negative,2024-08-14
